"Product Id","Variant Id","Handle","Title","Body (Html)","Vendor","Type","Tags","Published","Option Fulfill Value","Custom Option","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Sku","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Google Shopping / Mpn","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","Seo Title","Seo Description","Google Shopping / Adwords Grouping","Google Shopping / Adwords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost Per Item","Available On Listing Pages","Available On Sitemap Files","Template","Shipping Profile Name","Variant Tag","Facebook Pixel Id","Facebook Access Token","Product Stock Status","Shipping Fee","Base Cost Variant"
"'1000000495656953'","'1000011249612975'","crs-bjv-ha-my-201201",,,,,,,,,,"11.5 Men",,"White",,,"CRS-BJV-HA-MY-201201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011249610722",,,,0,0
"'1000000495656953'","'1000011249612976'","crs-bjv-ha-my-201201",,,,,,,,,,"12 Men",,"White",,,"CRS-BJV-HA-MY-201201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011249610723",,,,0,0
"'1000000495656953'","'1000011249612977'","crs-bjv-ha-my-201201",,,,,,,,,,"13 Men",,"White",,,"CRS-BJV-HA-MY-201201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011249610724",,,,0,0
"'1000000495656953'","'1000011249612978'","crs-bjv-ha-my-201201",,,,,,,,,,"9 Kid",,"White",,,"CRS-BJV-HA-MY-201201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011249610725",,,,0,0
"'1000000495656953'","'1000011249612979'","crs-bjv-ha-my-201201",,,,,,,,,,"10 Kid",,"White",,,"CRS-BJV-HA-MY-201201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011249610726",,,,0,0
"'1000000495656953'","'1000011249612980'","crs-bjv-ha-my-201201",,,,,,,,,,"11 Kid",,"White",,,"CRS-BJV-HA-MY-201201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011249610727",,,,0,0
"'1000000495656953'","'1000011249612981'","crs-bjv-ha-my-201201",,,,,,,,,,"12 Kid",,"White",,,"CRS-BJV-HA-MY-201201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011249610728",,,,0,0
"'1000000495656953'","'1000011249612982'","crs-bjv-ha-my-201201",,,,,,,,,,"13 Kid",,"White",,,"CRS-BJV-HA-MY-201201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011249610729",,,,0,0
"'1000000495656953'","'1000011249612983'","crs-bjv-ha-my-201201",,,,,,,,,,"1 Youth",,"White",,,"CRS-BJV-HA-MY-201201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011249610730",,,,0,0
"'1000000495766133'","'1000011260158429'","crs-jny-ha-my-221201","PREMIUM JNY CRS HA 221201","<p>There are two different ways to wear - you can wear it as sandals or flip flop. Constructed with lightweight and soft material.</p>
<ul>
<li>The upper is made of EVA</li>
<li>Feature: Anti-Slippery, Hard-Wearing, Quick-Drying</li>
<li>Perfect for indoor or outdoor use.</li>
<li>Custom area is the vamp and the tape.</li>
<li>This product is made on demand. </li>
<li>Multiple shipping options available, and cost varies on time efficiency<img src=""https://img.thesitebase.net/files/10285049/2022/08/19/1660898614aa43b54437.jpeg"" alt=""""/></li>
<li><strong>Size Kids</strong><strong><img src=""https://img.shopbase.com/files/10285049/2022/08/23/16612422771af360b081.jpeg"" alt=""""/></strong></li>
</ul>",,,"track-id-1000000495575060,jny","TRUE",,"[]","Size","4 Men/5 Women","Color","White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1703228217969.jpg",1,,,,,,,,,,,,,,,,,,,"lb",,0,"TRUE","TRUE","Default",,"track-id-1000011260157970",,,,,
"'1000000495766133'","'1000011260158430'","crs-jny-ha-my-221201",,,,,,,,,,"4.5 Men/6 Women",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1703228217979.jpg",2,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157971",,,,0,0
"'1000000495766133'","'1000011260158431'","crs-jny-ha-my-221201",,,,,,,,,,"5 Men/7 Women",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1703228217958.jpg",3,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157972",,,,0,0
"'1000000495766133'","'1000011260158432'","crs-jny-ha-my-221201",,,,,,,,,,"6 Men/8 Women",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157973",,,,0,0
"'1000000495766133'","'1000011260158433'","crs-jny-ha-my-221201",,,,,,,,,,"7 Men/9 Women",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157974",,,,0,0
"'1000000495766133'","'1000011260158434'","crs-jny-ha-my-221201",,,,,,,,,,"8 Men/10 Women",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157975",,,,0,0
"'1000000495766133'","'1000011260158435'","crs-jny-ha-my-221201",,,,,,,,,,"9 Men/11 Women",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157976",,,,0,0
"'1000000495766133'","'1000011260158436'","crs-jny-ha-my-221201",,,,,,,,,,"10 Men/12 Women",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157977",,,,0,0
"'1000000495766133'","'1000011260158437'","crs-jny-ha-my-221201",,,,,,,,,,"10.5 Men",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157978",,,,0,0
"'1000000495766133'","'1000011260158438'","crs-jny-ha-my-221201",,,,,,,,,,"11 Men",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157979",,,,0,0
"'1000000495766133'","'1000011260158439'","crs-jny-ha-my-221201",,,,,,,,,,"11.5 Men",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157980",,,,0,0
"'1000000495766133'","'1000011260158440'","crs-jny-ha-my-221201",,,,,,,,,,"12 Men",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157981",,,,0,0
"'1000000495766133'","'1000011260158441'","crs-jny-ha-my-221201",,,,,,,,,,"13 Men",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157982",,,,0,0
"'1000000495766133'","'1000011260158442'","crs-jny-ha-my-221201",,,,,,,,,,"9 Kid",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157983",,,,0,0
"'1000000495766133'","'1000011260158443'","crs-jny-ha-my-221201",,,,,,,,,,"10 Kid",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157984",,,,0,0
"'1000000495766133'","'1000011260158444'","crs-jny-ha-my-221201",,,,,,,,,,"11 Kid",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157985",,,,0,0
"'1000000495766133'","'1000011260158445'","crs-jny-ha-my-221201",,,,,,,,,,"12 Kid",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157986",,,,0,0
"'1000000495766133'","'1000011260158446'","crs-jny-ha-my-221201",,,,,,,,,,"13 Kid",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157987",,,,0,0
"'1000000495766133'","'1000011260158447'","crs-jny-ha-my-221201",,,,,,,,,,"1 Youth",,"White",,,"CRS-JNY-HA-MY-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157988",,,,0,0
"'1000000495771303'","'1000011260356218'","crs-crdb-va-nn-221201","PREMIUM CRDB CRS VA 221201","<p>There are two different ways to wear - you can wear it as sandals or flip flop. Constructed with lightweight and soft material.</p>
<ul>
<li>The upper is made of EVA</li>
<li>Feature: Anti-Slippery, Hard-Wearing, Quick-Drying</li>
<li>Perfect for indoor or outdoor use.</li>
<li>Custom area is the vamp and the tape.</li>
<li>This product is made on demand. </li>
<li>Multiple shipping options available, and cost varies on time efficiency<img src=""https://img.thesitebase.net/files/10285049/2022/08/19/1660898614aa43b54437.jpeg"" alt=""""/></li>
<li><strong>Size Kids</strong><strong><img src=""https://img.shopbase.com/files/10285049/2022/08/23/16612422771af360b081.jpeg"" alt=""""/></strong></li>
</ul>",,,"crdb","TRUE",,"[]","Size","4 Men/5 Women","Color","White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1703237332668.jpg",1,,,,,,,,,,,,,,,,,,,"lb",,0,"TRUE","TRUE","Default",,"track-id-1000011260157970",,,,,
"'1000000495771303'","'1000011260356219'","crs-crdb-va-nn-221201",,,,,,,,,,"4.5 Men/6 Women",,"White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1703237332658.jpg",2,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157971",,,,0,0
"'1000000495771303'","'1000011260356220'","crs-crdb-va-nn-221201",,,,,,,,,,"5 Men/7 Women",,"White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1703237332679.jpg",3,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157972",,,,0,0
"'1000000495771303'","'1000011260356221'","crs-crdb-va-nn-221201",,,,,,,,,,"6 Men/8 Women",,"White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157973",,,,0,0
"'1000000495771303'","'1000011260356222'","crs-crdb-va-nn-221201",,,,,,,,,,"7 Men/9 Women",,"White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157974",,,,0,0
"'1000000495771303'","'1000011260356223'","crs-crdb-va-nn-221201",,,,,,,,,,"8 Men/10 Women",,"White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157975",,,,0,0
"'1000000495771303'","'1000011260356224'","crs-crdb-va-nn-221201",,,,,,,,,,"9 Men/11 Women",,"White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157976",,,,0,0
"'1000000495771303'","'1000011260356225'","crs-crdb-va-nn-221201",,,,,,,,,,"10 Men/12 Women",,"White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157977",,,,0,0
"'1000000495771303'","'1000011260356226'","crs-crdb-va-nn-221201",,,,,,,,,,"10.5 Men",,"White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157978",,,,0,0
"'1000000495771303'","'1000011260356227'","crs-crdb-va-nn-221201",,,,,,,,,,"11 Men",,"White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157979",,,,0,0
"'1000000495771303'","'1000011260356228'","crs-crdb-va-nn-221201",,,,,,,,,,"11.5 Men",,"White",,,"CRS-CRDB-VA-NN-221201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011260157980",,,,0,0
